Name money,money@gmail.com,PAID,UConn (2),Vanderbilt (5),Gonzaga (3),Santa Clara (10),High Point (12),Georgia (8),NC State (11),Saint Mary's (7),Kennesaw St. (14),Saint Louis (9)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
Jen,mail,PAID,Saint Mary's (7),Northern Iowa (12),Texas A&M (10),North Carolina (6),Iowa (9),Houston (2),Arizona (1),Illinois (3),Texas (11),Nebraska (4)
